,L,b1,b2,alpha_l,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,l_sec,t_p,t_w,h_w,h_F,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,fcc,fsy,fsu,esu,d_p_1_o,d_p_1_i,s_p_1_o,s_p_1_i,d_p_2_o,d_p_2_i,s_p_2_o,s_p_2_i,d_p_3_o,d_p_3_i,s_p_3_o,s_p_3_i,d_p_4_o,d_p_4_i,s_p_4_o,s_p_4_i,d_p_5_o,d_p_5_i,s_p_5_o,s_p_5_i,d_p_6_o,d_p_6_i,s_p_6_o,s_p_6_i,d_p_7_o,d_p_7_i,s_p_7_o,s_p_7_i,d_p_8_o,d_p_8_i,s_p_8_o,s_p_8_i,d_p_9_o,d_p_9_i,s_p_9_o,s_p_9_i,d_w1_1_o,d_w1_1_i,s_w1_1_o,s_w1_1_i,d_w1_2_o,d_w1_2_i,s_w1_2_o,s_w1_2_i,d_w1_3_o,d_w1_3_i,s_w1_3_o,s_w1_3_i,d_w1_4_o,d_w1_4_i,s_w1_4_o,s_w1_4_i,d_w1_5_o,d_w1_5_i,s_w1_5_o,s_w1_5_i,d_w1_6_o,d_w1_6_i,s_w1_6_o,s_w1_6_i,d_w1_7_o,d_w1_7_i,s_w1_7_o,s_w1_7_i,d_w1_8_o,d_w1_8_i,s_w1_8_o,s_w1_8_i,d_w1_9_o,d_w1_9_i,s_w1_9_o,s_w1_9_i,d_w2_1_o,d_w2_1_i,s_w2_1_o,s_w2_1_i,d_w2_2_o,d_w2_2_i,s_w2_2_o,s_w2_2_i,d_w2_3_o,d_w2_3_i,s_w2_3_o,s_w2_3_i,d_w2_4_o,d_w2_4_i,s_w2_4_o,s_w2_4_i,d_w2_5_o,d_w2_5_i,s_w2_5_o,s_w2_5_i,d_w2_6_o,d_w2_6_i,s_w2_6_o,s_w2_6_i,d_w2_7_o,d_w2_7_i,s_w2_7_o,s_w2_7_i,d_w2_8_o,d_w2_8_i,s_w2_8_o,s_w2_8_i,d_w2_9_o,d_w2_9_i,s_w2_9_o,s_w2_9_i,withMPCs,offsetmodeling,mesh_size_factor,ecu
405,3980,31057,33840,118,0.43445567271967583,0.32575251111387343,0.15899068645252062,0.23628777682301122,0.41891569833725784,147,1427,3823,472,0.13013685047385193,0.2848065053342743,0,0,False,False,0,0,45,600.0001092619284,850.0004029526223,0.8000063491144356,26,26,100,100,26,26,100,100,26,26,100,100,26,26,100,100,26,26,100,100,26,26,100,100,26,26,100,100,26,26,100,100,26,26,100,100,26,26,150,200,26,26,150,200,26,26,150,200,26,26,150,200,26,26,150,200,26,26,150,200,26,26,150,200,26,26,150,200,26,26,150,200,12,14,150,150,12,14,150,150,12,14,150,150,12,14,150,150,12,14,150,150,12,14,150,150,12,14,150,150,12,14,150,150,12,14,150,150,True,True,100,-0.002
406,13037,9238,7988,90,0.2706779844413878,0.22732951581962935,0.07706197712036333,0.16554604348750818,0.36830552345204937,717,1179,3734,1189,0.33352209492778123,0.37662924187420815,0,0,False,False,0,0,50,600.0001396964832,850.0001041223609,0.8000003742121117,12,18,200,200,12,18,200,200,12,18,200,200,12,18,200,200,12,18,200,200,12,18,200,200,12,18,200,200,12,18,200,200,12,18,200,200,18,20,100,200,18,20,100,200,18,20,100,200,18,20,100,200,18,20,100,200,18,20,100,200,18,20,100,200,18,20,100,200,18,20,100,200,16,20,100,100,16,20,100,100,16,20,100,100,16,20,100,100,16,20,100,100,16,20,100,100,16,20,100,100,16,20,100,100,16,20,100,100,True,True,100,-0.002
407,12080,9986,11531,62,0.06060509891696902,0.1571873701062509,0.3821719690064932,0.21124256622018978,0.422959621498068,641,1351,2733,741,0.34491721266420067,0.16770712448198055,0,0,False,False,0,0,60,600.0005004002818,850.0004085526672,0.8000012276360011,16,18,200,200,16,18,200,200,16,18,200,200,16,18,200,200,16,18,200,200,16,18,200,200,16,18,200,200,16,18,200,200,16,18,200,200,18,18,150,200,18,18,150,200,18,18,150,200,18,18,150,200,18,18,150,200,18,18,150,200,18,18,150,200,18,18,150,200,18,18,150,200,20,22,100,150,20,22,100,150,20,22,100,150,20,22,100,150,20,22,100,150,20,22,100,150,20,22,100,150,20,22,100,150,20,22,100,150,True,True,100,-0.0022880175327183224
408,15618,25247,10329,110,0.44932829680372216,0.29031175760310174,0.1685565283519708,0.05696961768000139,0.3547903181085743,962,338,3651,364,0.21864125534374124,0.427243710833558,0,0,False,False,0,0,50,600.0002327323009,850.00011483321,0.8000009244545961,18,14,250,200,18,14,250,200,18,14,250,200,18,14,250,200,18,14,250,200,18,14,250,200,18,14,250,200,18,14,250,200,18,14,250,200,18,12,100,75,18,12,100,75,18,12,100,75,18,12,100,75,18,12,100,75,18,12,100,75,18,12,100,75,18,12,100,75,18,12,100,75,18,16,150,150,18,16,150,150,18,16,150,150,18,16,150,150,18,16,150,150,18,16,150,150,18,16,150,150,18,16,150,150,18,16,150,150,True,True,100,-0.002
409,12963,14540,22292,83,0.22967501245345096,0.4199114902039498,0.11337445759782326,0.07849962226803069,0.43770380147956467,714,162,4928,870,0.4236177266501963,0.2972999625874558,0,0,False,False,0,0,80,600.0007057453959,850.000016880599,0.8000018590053013,22,18,100,150,22,18,100,150,22,18,100,150,22,18,100,150,22,18,100,150,22,18,100,150,22,18,100,150,22,18,100,150,22,18,100,150,14,10,200,250,14,10,200,250,14,10,200,250,14,10,200,250,14,10,200,250,14,10,200,250,14,10,200,250,14,10,200,250,14,10,200,250,30,10,75,150,30,10,75,150,30,10,75,150,30,10,75,150,30,10,75,150,30,10,75,150,30,10,75,150,30,10,75,150,30,10,75,150,True,True,100,-0.002515576591108743
410,7843,31049,18755,86,0.2564639300022993,0.31205710192186226,0.24662383056337134,0.4259794198875395,0.12258617631584776,1327,1026,2467,905,0.19996851835661855,0.19532219530555672,0,0,False,False,0,0,45,600.0005489211004,850.0001588326413,0.8000041784595457,22,14,150,150,22,14,150,150,22,14,150,150,22,14,150,150,22,14,150,150,22,14,150,150,22,14,150,150,22,14,150,150,22,14,150,150,18,10,75,100,18,10,75,100,18,10,75,100,18,10,75,100,18,10,75,100,18,10,75,100,18,10,75,100,18,10,75,100,18,10,75,100,26,30,150,150,26,30,150,150,26,30,150,150,26,30,150,150,26,30,150,150,26,30,150,150,26,30,150,150,26,30,150,150,26,30,150,150,True,True,100,-0.002
411,4684,15594,15385,119,0.28726451458040786,0.2766863993225385,0.3432101179010358,0.2594327055212278,0.44429175212577876,252,432,3119,692,0.42099182106856364,0.06879368215602846,0,0,False,False,0,0,80,600.0007385924538,850.0003261017583,0.8000010958707513,18,20,150,250,18,20,150,250,18,20,150,250,18,20,150,250,18,20,150,250,18,20,150,250,18,20,150,250,18,20,150,250,18,20,150,250,30,20,200,150,30,20,200,150,30,20,200,150,30,20,200,150,30,20,200,150,30,20,200,150,30,20,200,150,30,20,200,150,30,20,200,150,18,26,75,75,18,26,75,75,18,26,75,75,18,26,75,75,18,26,75,75,18,26,75,75,18,26,75,75,18,26,75,75,18,26,75,75,True,True,100,-0.002515576591108743
412,5403,9384,29606,103,0.17526993745532926,0.424521451420484,0.38873629586620445,0.3677494887906008,0.1565936646265053,194,256,4117,1478,0.3664854410154023,0.09817603438125286,0,0,False,False,0,0,55,600.0007518776036,850.0003967831778,0.8000095648831854,14,26,100,100,14,26,100,100,14,26,100,100,14,26,100,100,14,26,100,100,14,26,100,100,14,26,100,100,14,26,100,100,14,26,100,100,12,18,100,150,12,18,100,150,12,18,100,150,12,18,100,150,12,18,100,150,12,18,100,150,12,18,100,150,12,18,100,150,12,18,100,150,12,22,250,150,12,22,250,150,12,22,250,150,12,22,250,150,12,22,250,150,12,22,250,150,12,22,250,150,12,22,250,150,12,22,250,150,True,True,100,-0.0021994679057750484
413,10728,27182,29317,66,0.19663345203908666,0.13850465634820314,0.40838210224059074,0.4165563501385361,0.3053871263206661,1259,681,4366,796,0.0591550177875094,0.2570428594170069,0,0,False,False,0,0,50,600.0008405880434,850.0002903492081,0.8000023615137792,20,14,200,75,20,14,200,75,20,14,200,75,20,14,200,75,20,14,200,75,20,14,200,75,20,14,200,75,20,14,200,75,20,14,200,75,22,22,200,200,22,22,200,200,22,22,200,200,22,22,200,200,22,22,200,200,22,22,200,200,22,22,200,200,22,22,200,200,22,22,200,200,16,20,200,100,16,20,200,100,16,20,200,100,16,20,200,100,16,20,200,100,16,20,200,100,16,20,200,100,16,20,200,100,16,20,200,100,True,True,100,-0.002
414,13113,22612,16077,69,0.16327027057191423,0.3754734090062286,0.26123220005331793,0.23303443513721722,0.36140139092778867,1205,1179,2137,1094,0.29717949338895017,0.309279520207277,0,0,False,False,0,0,60,600.0006867395673,850.0000996558784,0.8000045386372044,16,10,75,75,16,10,75,75,16,10,75,75,16,10,75,75,16,10,75,75,16,10,75,75,16,10,75,75,16,10,75,75,16,10,75,75,26,30,150,150,26,30,150,150,26,30,150,150,26,30,150,150,26,30,150,150,26,30,150,150,26,30,150,150,26,30,150,150,26,30,150,150,14,12,150,150,14,12,150,150,14,12,150,150,14,12,150,150,14,12,150,150,14,12,150,150,14,12,150,150,14,12,150,150,14,12,150,150,True,True,100,-0.0022880175327183224
415,11497,16564,14484,71,0.39484184265522143,0.3023025587959024,0.3157712244116813,0.38977776489141885,0.3529772093378748,1178,1182,3450,1126,0.23806259443955907,0.06663128171371052,0,0,False,False,0,0,45,600.0002353175184,850.0008951917019,0.8000013562971038,26,30,200,150,26,30,200,150,26,30,200,150,26,30,200,150,26,30,200,150,26,30,200,150,26,30,200,150,26,30,200,150,26,30,200,150,22,18,150,250,22,18,150,250,22,18,150,250,22,18,150,250,22,18,150,250,22,18,150,250,22,18,150,250,22,18,150,250,22,18,150,250,30,12,75,150,30,12,75,150,30,12,75,150,30,12,75,150,30,12,75,150,30,12,75,150,30,12,75,150,30,12,75,150,30,12,75,150,True,True,100,-0.002
416,11114,22872,7098,110,0.1608979356904739,0.2654507199279967,0.09944895990944089,0.3511524282075902,0.27090361240382205,1424,344,3037,125,0.1602204537312864,0.3131676679002974,0,0,False,False,0,0,80,600.0008562991025,850.0001898863042,0.8000036897450884,30,14,100,200,30,14,100,200,30,14,100,200,30,14,100,200,30,14,100,200,30,14,100,200,30,14,100,200,30,14,100,200,30,14,100,200,22,22,200,150,22,22,200,150,22,22,200,150,22,22,200,150,22,22,200,150,22,22,200,150,22,22,200,150,22,22,200,150,22,22,200,150,12,26,100,200,12,26,100,200,12,26,100,200,12,26,100,200,12,26,100,200,12,26,100,200,12,26,100,200,12,26,100,200,12,26,100,200,True,True,100,-0.002515576591108743
417,8295,25663,33488,101,0.3039430044938439,0.18185006852589464,0.33757468744033237,0.1817894379616965,0.1681744490945023,683,1292,3680,796,0.3707280698851757,0.11459779622615884,0,0,False,False,0,0,50,600.0007715193951,850.0001053655719,0.8000093166175719,22,18,250,75,22,18,250,75,22,18,250,75,22,18,250,75,22,18,250,75,22,18,250,75,22,18,250,75,22,18,250,75,22,18,250,75,22,20,200,100,22,20,200,100,22,20,200,100,22,20,200,100,22,20,200,100,22,20,200,100,22,20,200,100,22,20,200,100,22,20,200,100,26,10,100,150,26,10,100,150,26,10,100,150,26,10,100,150,26,10,100,150,26,10,100,150,26,10,100,150,26,10,100,150,26,10,100,150,True,True,100,-0.002
418,9659,32273,8322,86,0.34844999790680076,0.08707664367087868,0.3744660318421819,0.3695935227105559,0.4338110152688168,667,1173,3870,1385,0.38596646273453294,0.3002114040330755,0,0,False,False,0,0,60,600.000418939461,850.0001514056858,0.800008801772994,10,22,200,100,10,22,200,100,10,22,200,100,10,22,200,100,10,22,200,100,10,22,200,100,10,22,200,100,10,22,200,100,10,22,200,100,14,22,250,100,14,22,250,100,14,22,250,100,14,22,250,100,14,22,250,100,14,22,250,100,14,22,250,100,14,22,250,100,14,22,250,100,22,12,150,250,22,12,150,250,22,12,150,250,22,12,150,250,22,12,150,250,22,12,150,250,22,12,150,250,22,12,150,250,22,12,150,250,True,True,100,-0.0022880175327183224
419,13044,25925,26431,61,0.10710877612158315,0.40846178774827857,0.13609982492138567,0.25701493232842737,0.20093516822286103,1379,336,4041,521,0.08926906522216213,0.14118243816877468,0,0,False,False,0,0,55,600.0006405708797,850.0001413235798,0.8000070828321972,12,20,75,100,12,20,75,100,12,20,75,100,12,20,75,100,12,20,75,100,12,20,75,100,12,20,75,100,12,20,75,100,12,20,75,100,16,14,200,100,16,14,200,100,16,14,200,100,16,14,200,100,16,14,200,100,16,14,200,100,16,14,200,100,16,14,200,100,16,14,200,100,20,18,200,150,20,18,200,150,20,18,200,150,20,18,200,150,20,18,200,150,20,18,200,150,20,18,200,150,20,18,200,150,20,18,200,150,True,True,100,-0.0021994679057750484
420,12691,18111,23094,65,0.30264830816255084,0.28021344510726204,0.4061655774811847,0.44207558306834954,0.1938146512905658,1361,623,2883,1325,0.13722135647955785,0.1731025548803063,0,0,False,False,0,0,70,600.0009875119783,850.000373933362,0.8000040976618082,14,18,250,200,14,18,250,200,14,18,250,200,14,18,250,200,14,18,250,200,14,18,250,200,14,18,250,200,14,18,250,200,14,18,250,200,30,30,100,250,30,30,100,250,30,30,100,250,30,30,100,250,30,30,100,250,30,30,100,250,30,30,100,250,30,30,100,250,30,30,100,250,26,26,150,250,26,26,150,250,26,26,150,250,26,26,150,250,26,26,150,250,26,26,150,250,26,26,150,250,26,26,150,250,26,26,150,250,True,True,100,-0.0024158769243143416
421,14694,24378,34939,86,0.42181461539360227,0.2603677316729972,0.15277276403414108,0.1751900073630056,0.25291616618636226,986,1330,2251,1229,0.2997392950381561,0.10499147678967863,0,0,False,False,0,0,70,600.0005995584752,850.0000703535213,0.8000079822608468,22,12,100,150,22,12,100,150,22,12,100,150,22,12,100,150,22,12,100,150,22,12,100,150,22,12,100,150,22,12,100,150,22,12,100,150,20,10,150,100,20,10,150,100,20,10,150,100,20,10,150,100,20,10,150,100,20,10,150,100,20,10,150,100,20,10,150,100,20,10,150,100,16,14,75,75,16,14,75,75,16,14,75,75,16,14,75,75,16,14,75,75,16,14,75,75,16,14,75,75,16,14,75,75,16,14,75,75,True,True,100,-0.0024158769243143416
422,7193,8956,23602,82,0.17381162124289168,0.07860952799025572,0.3323401026643184,0.27226870418676435,0.1599126125699713,375,116,3882,269,0.40252915770686964,0.05917308861751076,0,0,False,False,0,0,40,600.0008478009,850.000430141085,0.8000087611510848,12,26,200,200,12,26,200,200,12,26,200,200,12,26,200,200,12,26,200,200,12,26,200,200,12,26,200,200,12,26,200,200,12,26,200,200,26,18,100,200,26,18,100,200,26,18,100,200,26,18,100,200,26,18,100,200,26,18,100,200,26,18,100,200,26,18,100,200,26,18,100,200,20,12,100,100,20,12,100,100,20,12,100,100,20,12,100,100,20,12,100,100,20,12,100,100,20,12,100,100,20,12,100,100,20,12,100,100,True,True,100,-0.002
423,12953,8415,10268,107,0.09481667429072968,0.14494524859738578,0.2879768293796256,0.29385632558994307,0.20447307011610744,944,214,3976,579,0.3876770862484147,0.21639981895092253,0,0,False,False,0,0,40,600.0001077986129,850.0009447716976,0.8000017924949655,14,22,75,200,14,22,75,200,14,22,75,200,14,22,75,200,14,22,75,200,14,22,75,200,14,22,75,200,14,22,75,200,14,22,75,200,30,10,250,200,30,10,250,200,30,10,250,200,30,10,250,200,30,10,250,200,30,10,250,200,30,10,250,200,30,10,250,200,30,10,250,200,26,16,250,150,26,16,250,150,26,16,250,150,26,16,250,150,26,16,250,150,26,16,250,150,26,16,250,150,26,16,250,150,26,16,250,150,True,True,100,-0.002
424,9927,19145,17631,115,0.3659023316934079,0.3964054401364569,0.29164140217125123,0.0517648320300024,0.32612506958829623,144,990,3128,719,0.3428014030554962,0.258826399406699,0,0,False,False,0,0,50,600.0008031381005,850.0003492264784,0.8000002796354919,20,10,75,150,20,10,75,150,20,10,75,150,20,10,75,150,20,10,75,150,20,10,75,150,20,10,75,150,20,10,75,150,20,10,75,150,22,26,200,75,22,26,200,75,22,26,200,75,22,26,200,75,22,26,200,75,22,26,200,75,22,26,200,75,22,26,200,75,22,26,200,75,20,22,75,150,20,22,75,150,20,22,75,150,20,22,75,150,20,22,75,150,20,22,75,150,20,22,75,150,20,22,75,150,20,22,75,150,True,True,100,-0.002
425,13525,25296,12143,70,0.3264310634099109,0.31529882900559675,0.23093196766463348,0.37788031379997644,0.32451546869877956,153,1477,3675,1087,0.4308866253439788,0.32462990493093064,0,0,False,False,0,0,50,600.0005226004118,850.0009877525595,0.8000030229771006,10,14,200,100,10,14,200,100,10,14,200,100,10,14,200,100,10,14,200,100,10,14,200,100,10,14,200,100,10,14,200,100,10,14,200,100,20,20,200,250,20,20,200,250,20,20,200,250,20,20,200,250,20,20,200,250,20,20,200,250,20,20,200,250,20,20,200,250,20,20,200,250,22,22,200,150,22,22,200,150,22,22,200,150,22,22,200,150,22,22,200,150,22,22,200,150,22,22,200,150,22,22,200,150,22,22,200,150,True,True,100,-0.002
426,5034,12347,12020,90,0.08727812896249043,0.26294591693854824,0.3246038505048128,0.3282231065963219,0.17097314766043714,365,487,4299,497,0.21541149307855773,0.4433855396576688,0,0,False,False,0,0,55,600.0002296611285,850.0006247349611,0.8000044020608335,30,16,200,150,30,16,200,150,30,16,200,150,30,16,200,150,30,16,200,150,30,16,200,150,30,16,200,150,30,16,200,150,30,16,200,150,26,16,250,200,26,16,250,200,26,16,250,200,26,16,250,200,26,16,250,200,26,16,250,200,26,16,250,200,26,16,250,200,26,16,250,200,30,16,100,100,30,16,100,100,30,16,100,100,30,16,100,100,30,16,100,100,30,16,100,100,30,16,100,100,30,16,100,100,30,16,100,100,True,True,100,-0.0021994679057750484
427,12732,33778,21787,68,0.0954354327123749,0.23294837160261406,0.2000362725841615,0.14287792897341522,0.4387357719173738,1316,894,2700,1224,0.22750389133559518,0.1391587844812931,0,0,False,False,0,0,40,600.0003220558707,850.0000847933071,0.8000031887187385,16,22,150,200,16,22,150,200,16,22,150,200,16,22,150,200,16,22,150,200,16,22,150,200,16,22,150,200,16,22,150,200,16,22,150,200,22,30,200,250,22,30,200,250,22,30,200,250,22,30,200,250,22,30,200,250,22,30,200,250,22,30,200,250,22,30,200,250,22,30,200,250,26,18,200,100,26,18,200,100,26,18,200,100,26,18,200,100,26,18,200,100,26,18,200,100,26,18,200,100,26,18,200,100,26,18,200,100,True,True,100,-0.002
428,12574,9968,27952,60,0.4084411429019677,0.22985555782029138,0.3718108481556358,0.41166303487505645,0.4471198550480312,499,286,4497,898,0.05268326906972782,0.08403738134286379,0,0,False,False,0,0,50,600.0005443385106,850.0002100165464,0.8000030674903139,30,16,100,100,30,16,100,100,30,16,100,100,30,16,100,100,30,16,100,100,30,16,100,100,30,16,100,100,30,16,100,100,30,16,100,100,20,16,250,100,20,16,250,100,20,16,250,100,20,16,250,100,20,16,250,100,20,16,250,100,20,16,250,100,20,16,250,100,20,16,250,100,18,18,150,150,18,18,150,150,18,18,150,150,18,18,150,150,18,18,150,150,18,18,150,150,18,18,150,150,18,18,150,150,18,18,150,150,True,True,100,-0.002
429,12447,15636,32133,103,0.2546278018682066,0.08973379923631783,0.3250911042123671,0.36970847131919843,0.31018548909239796,1206,1080,4166,418,0.1795529783059518,0.14067409432367775,0,0,False,False,0,0,70,600.0003224284617,850.0001923526376,0.8000092023161807,18,14,200,150,18,14,200,150,18,14,200,150,18,14,200,150,18,14,200,150,18,14,200,150,18,14,200,150,18,14,200,150,18,14,200,150,16,14,100,150,16,14,100,150,16,14,100,150,16,14,100,150,16,14,100,150,16,14,100,150,16,14,100,150,16,14,100,150,16,14,100,150,12,14,250,100,12,14,250,100,12,14,250,100,12,14,250,100,12,14,250,100,12,14,250,100,12,14,250,100,12,14,250,100,12,14,250,100,True,True,100,-0.0024158769243143416
430,14149,27077,17424,106,0.28999145035237167,0.16762754774025007,0.18210449452262994,0.2192290146432317,0.20186109320556486,670,647,3082,371,0.40640724806669776,0.19148805242670786,0,0,False,False,0,0,55,600.0004725392631,850.0002555254217,0.8000035827708619,26,26,100,150,26,26,100,150,26,26,100,150,26,26,100,150,26,26,100,150,26,26,100,150,26,26,100,150,26,26,100,150,26,26,100,150,30,18,75,200,30,18,75,200,30,18,75,200,30,18,75,200,30,18,75,200,30,18,75,200,30,18,75,200,30,18,75,200,30,18,75,200,20,10,100,250,20,10,100,250,20,10,100,250,20,10,100,250,20,10,100,250,20,10,100,250,20,10,100,250,20,10,100,250,20,10,100,250,True,True,100,-0.0021994679057750484
431,11382,18522,22928,116,0.3318929635970602,0.07336767059714963,0.28631405474084926,0.21744203047061073,0.14750887308872326,630,1131,2200,400,0.3662160066252093,0.15171983479242257,0,0,False,False,0,0,70,600.0006127492329,850.0006934514887,0.8000042047294018,10,18,200,100,10,18,200,100,10,18,200,100,10,18,200,100,10,18,200,100,10,18,200,100,10,18,200,100,10,18,200,100,10,18,200,100,14,30,200,100,14,30,200,100,14,30,200,100,14,30,200,100,14,30,200,100,14,30,200,100,14,30,200,100,14,30,200,100,14,30,200,100,18,30,150,200,18,30,150,200,18,30,150,200,18,30,150,200,18,30,150,200,18,30,150,200,18,30,150,200,18,30,150,200,18,30,150,200,True,True,100,-0.0024158769243143416
432,12054,7290,17617,86,0.11331117254944256,0.11088663318948694,0.2771384176369584,0.20002200910099388,0.2502465352527572,695,227,4163,1155,0.34425510655290004,0.25840733825961193,0,0,False,False,0,0,80,600.0004199740638,850.0007347484717,0.8000077760932817,22,16,150,200,22,16,150,200,22,16,150,200,22,16,150,200,22,16,150,200,22,16,150,200,22,16,150,200,22,16,150,200,22,16,150,200,20,12,100,150,20,12,100,150,20,12,100,150,20,12,100,150,20,12,100,150,20,12,100,150,20,12,100,150,20,12,100,150,20,12,100,150,26,20,250,150,26,20,250,150,26,20,250,150,26,20,250,150,26,20,250,150,26,20,250,150,26,20,250,150,26,20,250,150,26,20,250,150,True,True,100,-0.002515576591108743
433,6748,13047,21159,107,0.41354016040278985,0.3098140478882613,0.2733565130223931,0.24238106203296444,0.32499329521536324,591,394,3625,787,0.29890878477589566,0.23979340736588428,0,0,False,False,0,0,55,600.0002716879305,850.0005903205505,0.8000092935858167,12,14,250,250,12,14,250,250,12,14,250,250,12,14,250,250,12,14,250,250,12,14,250,250,12,14,250,250,12,14,250,250,12,14,250,250,18,26,75,100,18,26,75,100,18,26,75,100,18,26,75,100,18,26,75,100,18,26,75,100,18,26,75,100,18,26,75,100,18,26,75,100,20,18,150,100,20,18,150,100,20,18,150,100,20,18,150,100,20,18,150,100,20,18,150,100,20,18,150,100,20,18,150,100,20,18,150,100,True,True,100,-0.0021994679057750484
434,8303,31924,27472,98,0.11846909590633915,0.06740392763410934,0.3334867339481689,0.2738818874129369,0.24905199041204631,864,621,3350,231,0.17984705208334212,0.3186032918876989,0,0,False,False,0,0,40,600.0007988951692,850.0004167412328,0.8000018166851045,12,10,200,150,12,10,200,150,12,10,200,150,12,10,200,150,12,10,200,150,12,10,200,150,12,10,200,150,12,10,200,150,12,10,200,150,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,16,14,150,200,26,30,150,75,26,30,150,75,26,30,150,75,26,30,150,75,26,30,150,75,26,30,150,75,26,30,150,75,26,30,150,75,26,30,150,75,True,True,100,-0.002
435,6995,32230,21660,77,0.3689653202694768,0.1051378884792991,0.1900444231506342,0.4081182485501011,0.30398988352610096,480,469,2783,1077,0.2071508646304549,0.2894585317759557,0,0,False,False,0,0,60,600.0000010495829,850.0006709907819,0.8000040713535332,20,16,100,150,20,16,100,150,20,16,100,150,20,16,100,150,20,16,100,150,20,16,100,150,20,16,100,150,20,16,100,150,20,16,100,150,20,20,200,75,20,20,200,75,20,20,200,75,20,20,200,75,20,20,200,75,20,20,200,75,20,20,200,75,20,20,200,75,20,20,200,75,14,16,250,75,14,16,250,75,14,16,250,75,14,16,250,75,14,16,250,75,14,16,250,75,14,16,250,75,14,16,250,75,14,16,250,75,True,True,100,-0.0022880175327183224
436,4526,27694,23148,104,0.06269695211683733,0.2291739603576078,0.18357699640907438,0.4205172411190112,0.40090890041967986,1234,313,3152,841,0.08166995460442185,0.4381312957465788,0,0,False,False,0,0,70,600.0009403495679,850.0005818923054,0.8000016716037317,18,26,100,75,18,26,100,75,18,26,100,75,18,26,100,75,18,26,100,75,18,26,100,75,18,26,100,75,18,26,100,75,18,26,100,75,26,10,200,250,26,10,200,250,26,10,200,250,26,10,200,250,26,10,200,250,26,10,200,250,26,10,200,250,26,10,200,250,26,10,200,250,22,12,100,200,22,12,100,200,22,12,100,200,22,12,100,200,22,12,100,200,22,12,100,200,22,12,100,200,22,12,100,200,22,12,100,200,True,True,100,-0.0024158769243143416
437,6188,25012,21154,81,0.20314452104741582,0.13697657659623755,0.18382540487849885,0.10349900486824581,0.438834730493871,1186,1444,3072,1179,0.2456582932194482,0.10488252727541586,0,0,False,False,0,0,50,600.0003341556636,850.0006047545608,0.8000090127650282,12,20,75,100,12,20,75,100,12,20,75,100,12,20,75,100,12,20,75,100,12,20,75,100,12,20,75,100,12,20,75,100,12,20,75,100,22,16,75,150,22,16,75,150,22,16,75,150,22,16,75,150,22,16,75,150,22,16,75,150,22,16,75,150,22,16,75,150,22,16,75,150,22,16,100,150,22,16,100,150,22,16,100,150,22,16,100,150,22,16,100,150,22,16,100,150,22,16,100,150,22,16,100,150,22,16,100,150,True,True,100,-0.002
438,7075,7140,32472,72,0.12557461697940847,0.06395243373583394,0.12222914396216564,0.051665418319038536,0.2714310911457496,1322,640,2337,419,0.23570300717394344,0.31805641719050987,0,0,False,False,0,0,45,600.0000243707415,850.0000795725264,0.8000047964839051,30,12,75,75,30,12,75,75,30,12,75,75,30,12,75,75,30,12,75,75,30,12,75,75,30,12,75,75,30,12,75,75,30,12,75,75,16,30,200,150,16,30,200,150,16,30,200,150,16,30,200,150,16,30,200,150,16,30,200,150,16,30,200,150,16,30,200,150,16,30,200,150,14,20,100,100,14,20,100,100,14,20,100,100,14,20,100,100,14,20,100,100,14,20,100,100,14,20,100,100,14,20,100,100,14,20,100,100,True,True,100,-0.002
439,12860,7553,26346,115,0.05052721414970766,0.3457879581784138,0.22336613170280983,0.33965180058320954,0.3024156579852365,650,1475,4692,460,0.22393909917200366,0.39738623908602866,0,0,False,False,0,0,50,600.0005143888899,850.0008867316108,0.8000032947996472,16,18,100,100,16,18,100,100,16,18,100,100,16,18,100,100,16,18,100,100,16,18,100,100,16,18,100,100,16,18,100,100,16,18,100,100,20,10,75,75,20,10,75,75,20,10,75,75,20,10,75,75,20,10,75,75,20,10,75,75,20,10,75,75,20,10,75,75,20,10,75,75,12,16,200,75,12,16,200,75,12,16,200,75,12,16,200,75,12,16,200,75,12,16,200,75,12,16,200,75,12,16,200,75,12,16,200,75,True,True,100,-0.002
440,9466,10800,27313,100,0.132365582381834,0.2586211927116133,0.4127752687076194,0.13694644899966849,0.23029537689873772,877,1272,4992,1189,0.4047755795259968,0.1367785596814574,0,0,False,False,0,0,80,600.0007378535169,850.0002519992455,0.8000061499187084,20,14,75,250,20,14,75,250,20,14,75,250,20,14,75,250,20,14,75,250,20,14,75,250,20,14,75,250,20,14,75,250,20,14,75,250,12,26,100,150,12,26,100,150,12,26,100,150,12,26,100,150,12,26,100,150,12,26,100,150,12,26,100,150,12,26,100,150,12,26,100,150,30,18,150,250,30,18,150,250,30,18,150,250,30,18,150,250,30,18,150,250,30,18,150,250,30,18,150,250,30,18,150,250,30,18,150,250,True,True,100,-0.002515576591108743
